Measurement date,Measurement time,Site,Instrument,UV Total Index,Level,Data Quality
12/02/2022,16:30:00,Reading,DM150,0.1,R,G
12/02/2022,16:00:00,Reading,DM150,0.1,R,G
12/02/2022,15:30:00,Reading,DM150,0.2,R,G
12/02/2022,15:00:00,Reading,DM150,0.4,R,G
12/02/2022,14:30:00,Reading,DM150,0.5,R,G
12/02/2022,14:00:00,Reading,DM150,0.8,R,G
12/02/2022,13:30:00,Reading,DM150,0.8,R,G
12/02/2022,13:00:00,Reading,DM150,0.9,R,G
12/02/2022,12:30:00,Reading,DM150,0.9,R,G
12/02/2022,12:00:00,Reading,DM150,0.9,R,G
12/02/2022,11:30:00,Reading,DM150,0.7,R,G
12/02/2022,11:00:00,Reading,DM150,0.7,R,G
12/02/2022,10:30:00,Reading,DM150,0.6,R,G
12/02/2022,10:00:00,Reading,DM150,0.4,R,G
12/02/2022,09:30:00,Reading,DM150,0.3,R,G
12/02/2022,09:00:00,Reading,DM150,0.2,R,G
12/02/2022,08:30:00,Reading,DM150,0.1,R,G
11/02/2022,16:30:00,Reading,DM150,0.1,R,G
11/02/2022,16:00:00,Reading,DM150,0.1,R,G
11/02/2022,15:30:00,Reading,DM150,0.3,R,G
11/02/2022,15:00:00,Reading,DM150,0.4,R,G
11/02/2022,14:30:00,Reading,DM150,0.5,R,G
11/02/2022,14:00:00,Reading,DM150,0.7,R,G
11/02/2022,13:30:00,Reading,DM150,0.8,R,G
11/02/2022,13:00:00,Reading,DM150,0.9,R,G
11/02/2022,12:30:00,Reading,DM150,0.9,R,G
11/02/2022,12:00:00,Reading,DM150,1.1,R,G
11/02/2022,11:30:00,Reading,DM150,1.1,R,G
11/02/2022,11:00:00,Reading,DM150,0.9,R,G
11/02/2022,10:30:00,Reading,DM150,0.8,R,M
11/02/2022,10:00:00,Reading,DM150,0.6,R,G
11/02/2022,09:30:00,Reading,DM150,0.4,R,M
11/02/2022,09:00:00,Reading,DM150,0.3,R,G
11/02/2022,08:30:00,Reading,DM150,0.1,R,G
10/02/2022,16:30:00,Reading,DM150,0.1,R,G
10/02/2022,16:00:00,Reading,DM150,0.2,R,G
10/02/2022,15:30:00,Reading,DM150,0.3,R,G
10/02/2022,15:00:00,Reading,DM150,0.4,R,G
10/02/2022,14:30:00,Reading,DM150,0.5,R,G
10/02/2022,14:00:00,Reading,DM150,0.6,R,G
10/02/2022,13:30:00,Reading,DM150,0.5,R,G
10/02/2022,13:00:00,Reading,DM150,0.6,R,G
10/02/2022,12:30:00,Reading,DM150,0.6,R,G
10/02/2022,12:00:00,Reading,DM150,0.7,R,G
10/02/2022,11:30:00,Reading,DM150,0.8,R,G
10/02/2022,11:00:00,Reading,DM150,0.7,R,G
10/02/2022,10:30:00,Reading,DM150,0.5,R,G
10/02/2022,10:00:00,Reading,DM150,0.4,R,G
10/02/2022,09:30:00,Reading,DM150,0.3,R,G
10/02/2022,09:00:00,Reading,DM150,0.1,R,G
10/02/2022,08:30:00,Reading,DM150,0.1,R,G
09/02/2022,16:30:00,Reading,DM150,0,R,G
09/02/2022,16:00:00,Reading,DM150,0,R,G
09/02/2022,15:30:00,Reading,DM150,0.1,R,G
09/02/2022,15:00:00,Reading,DM150,0.1,R,G
09/02/2022,14:30:00,Reading,DM150,0.2,R,G
09/02/2022,14:00:00,Reading,DM150,0.3,R,G
09/02/2022,13:30:00,Reading,DM150,0.2,R,G
09/02/2022,13:00:00,Reading,DM150,0.5,R,G
09/02/2022,12:30:00,Reading,DM150,0.9,R,M
09/02/2022,12:00:00,Reading,DM150,1.2,R,G
